Title;Release date;IMDB-id;origin
Angel Has Fallen;2019;tt6189022;US
BlacKkKlansman;2018;tt7349662;US
Welcome to Marwen;2018;tt3289724;US
The Lion King;2019;tt6105098;US
Her;2013;tt1798709;US
Boyhood;2014;tt1065073;US
Star Wars: The Last Jedi;2017;tt2527336;US
Lady Bird;2017;tt4925292;US
Us;2019;tt6857112;US
Hustlers;2019;tt5503686;US
Escape Room;2019;tt5886046;US
Zombieland: Double Tap;2019;tt1560220;US
Aladdin;2019;tt6139732;US
Capharnaum;2018;tt8267604;LB,US
Paterson;2016;tt5247022;US,FR,DE
The Lighthouse;2019;tt7984734;US,BR
Fast & Furious Presents: Hobbs & Shaw;2019;tt6806448;US
The King;2019;tt7984766;GB,HU,AU
Call Me By Your Name;2017;tt5726616;US,IT
Midsommar;2019;tt8772262;US
438 Days;2019;tt8325442;SE
Bohemian Rhapsody;2018;tt1727824;US
Yesterday;2019;tt8079248;GB
Fighting With My Family;2019;tt6513120;US,GB
Untouchable;2019;tt9358228;US
Star Wars: Episode IX - The Rise of Skywalker;2019;tt2527338;US
Terminator: Dark Fate;2019;tt6450804;US
Queen of Hearts;2019;tt8378126;DK,SE
Pain and Glory;2019;tt8291806;ES
Rocketman;2019;tt2066051;GB,US
Star Wars: Episode VII - The Force Awakens;2015;tt2488496;US
Dolemite Is My Name;2019;tt8526872;US
The Revenant;2015;tt1663202;HK,TW,US
Joker;2019;tt7286456;US
Once Upon a Time... in Hollywood;2019;tt7131622;US
Marriage Story;2019;tt7653254;US
The Irishman;2019;tt1302006;US
The Report;2019;tt8236336;US
Parasite;2019;tt6751668;KR
6 Underground;2019;tt8106534;US
1917;2019;tt8579674;US,GB
Green Book;2018;tt6966692;US
Capharnaüm;2018;tt8267604;LB,US
Ford v Ferrari;2019;tt1950186;US
Toy Story 4;2019;tt1979376;US
Jojo Rabbit;2019;tt2584384;DE,US
Jumanji: The Next Level;2019;tt7975244;US
Checkered Ninja;2018;tt7367960;DK
Booksmart;2019;tt1489887;US
The Post;2017;tt6294822;US,GB
Mission: Impossible - Fallout;2018;tt4912910;US,CN
John Wick: Chapter 3 - Parabellum;2019;tt6146586;US
It Chapter Two;2019;tt7349950;US
Daniel;2019;tt9179230;DK
Doctor Sleep;2019;tt5606664;US
Ad Astra;2019;tt2935510;US
Vice;2018;tt6266538;US
