Title;Release date_1;IMDB-id_1;origin_1;Release date_2;IMDB-id_2;origin_2
Stan & Ollie;2018;tt3385524;GB,US,CA;2019;tt3385524;GB,US,CA
Spider-Man: Far from Home;'';'';'';'';'';''
Avengers: Endgame;2018;tt4154796;US;2019;tt4154796;US
Frozen II;2019;'';US;2019;'';US
Knives Out;2017;tt8946378;US;2019;tt8946378;US
Last Christmas;2019;'';'';2019;'';''
The Favourite;2019;'';IE,GB,US;2018;'';IE,GB,US
They Shall Not Grow Old;2018;'';GB,NZ;2018;'';GB,NZ
The Farewell;2019;tt8637428;;2019;tt8637428;
The Aeronauts;2019;tt6141246;;2019;tt6141246;
The Two Popes;2019;tt8404614;'';2019;tt8404614;''
My Hero Academia: HEROES:RISING;2019;tt11107074;'';2019;tt11107074;''
Uncut Gems;2019;tt5727208;'';2019;tt5727208;''
Little Women;2019;tt3281548;'';2019;tt3281548;''
